"","kingdom","phylum","class","order","family","genus","species"
"OTU863:132grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__Diaporthe_viticola_SH341777.07FU"
"OTU643:136grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__Peziza_domiciliana_SH210388.07FU"
"OTU1981:132grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae",NA,NA
"OTU1523:132grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__Diaporthe_lusitanicae_SH084696.07FU"
"OTU1065:133grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Corallocytostroma",NA
"OTU2209:133grass","k__Fungi","p__Chytridiomycota","c__Chytridiomycota_cls_Incertae_sedis","o__Chytridiomycota_ord_Incertae_sedis","f__Chytridiomycota_fam_Incertae_sedis","g__Homolaphlyctis","s__Homolaphlyctis_polyrhiza_SH476089.07FU"
"OTU2149:133grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU944:133grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU1327:133grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Hypocrella",NA
"OTU1804:133grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"OTU1283:133grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"OTU867:133grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Podosphaera",NA
"OTU1742:133grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Saccharata","s__Saccharata_capensis_SH213936.07FU"
"OTU1175:133grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae",NA,NA
"OTU2068:133grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA
"OTU1772:133grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Agyriales","f__Agyriaceae","g__Trapeliopsis","s__Trapeliopsis_granulosa_SH204744.07FU"
"OTU1467:137grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU2829:133grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__Candida_quercitrusa_SH208976.07FU"
"OTU2908:133grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiomycetes_ord_Incertae_sedis","f__Eurotiomycetes_fam_Incertae_sedis","g__Sarcinomyces","s__Sarcinomyces_petricola_SH180462.07FU"
"OTU1790:133grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU2623:133grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU2197:133grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU2352:133grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Hypholoma","s__Hypholoma_capnoides_SH219736.07FU"
"OTU2433:133grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"OTU2195:140grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU2947:133grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_soppii_SH199403.07FU"
"OTU1939:133grass","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU3643:133grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU3738:139grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU3896:133grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Xenopolyscytalum",NA
"OTU1372:134grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU1273:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU3189:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Rachicladosporium",NA
"OTU1084:134grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU1485:134grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Colletotrichum",NA
"OTU1403:134grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU1067:134grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales",NA,NA,NA
"OTU1686:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU1309:134grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,NA,NA
"OTU1334:134grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Bjerkandera",NA
"OTU1130:134grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Phacidiella",NA
"OTU1086:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU2129:134grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae",NA,NA
"OTU1234:134grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU1644:134grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"OTU1329:134grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae",NA,NA
"OTU1270:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Ramularia",NA
"OTU3906:134grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Derxomyces",NA
"OTU1566:134grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales",NA,NA,NA
"OTU2763:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Rachicladosporium",NA
"OTU1853:134grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Xylaria",NA
"OTU3893:134grass","k__Fungi","p__Neocallimastigomycota","c__Neocallimastigomycetes","o__Neocallimastigales","f__Neocallimastigaceae","g__Neocallimastix",NA
"OTU3061:134grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Scolecobasidium",NA
"OTU2284:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Phoma","s__Phoma_oculi-hominis_SH245145.07FU"
"OTU2492:134grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Peterozyma","s__Peterozyma_xylosa_SH190683.07FU"
"OTU3888:134grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Rachicladosporium",NA
"OTU640:135grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"OTU3652:135grass","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Archaeosporales",NA,NA,NA
"OTU1205:135grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Dioszegia","s__Dioszegia_rishiriensis_SH209719.07FU"
"OTU1881:135grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Ryvardenia",NA
"OTU2111:135grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Lasiosphaeris","s__Lasiosphaeris_hispida_SH203437.07FU"
"OTU2138:135grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU3653:135grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_metachromatica_SH216783.07FU"
"OTU3014:135grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Derxomyces","s__Derxomyces_yunnanensis_SH215979.07FU"
"OTU3221:135grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Derxomyces","s__Derxomyces_yunnanensis_SH215979.07FU"
"OTU2957:135grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis",NA,NA
"OTU3219:135grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"OTU3597:135grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Derxomyces",NA
"OTU2738:135grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis",NA,NA
"OTU3454:135grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida",NA
"OTU504:136grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Ramulispora","s__Ramulispora_sorghi_SH205985.07FU"
"OTU778:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus",NA
"OTU911:136grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Seifertia",NA
"OTU1011:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Calyptella",NA
"OTU1724:136grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae","g__Tuber",NA
"OTU1142:136grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Pulchromyces","s__Pulchromyces_fimicola_SH213857.07FU"
"OTU1774:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe_fuscomarginata_SH210567.07FU"
"OTU1573:136grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"OTU1646:136grass","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__Acaulospora_cavernata_SH194639.07FU"
"OTU1477:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"OTU2642:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gomphales","f__Gomphaceae","g__Ramaria",NA
"OTU1942:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinales_Group_B",NA,NA
"OTU1850:136grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU2181:136grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps",NA
"OTU1042:136grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida",NA
"OTU1699:136grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Pulchromyces","s__Pulchromyces_fimicola_SH213857.07FU"
"OTU1806:136grass","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Archaeosporales","f__Archaeosporaceae",NA,NA
"OTU3138:136grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Neotyphodium","s__Neotyphodium_uncinatum_SH193550.07FU"
"OTU2969:136grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU1795:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Coltricia",NA
"OTU2257:136grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Colletotrichum","s__Colletotrichum_destructivum_SH375584.07FU"
"OTU2783:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Trichaptum",NA
"OTU2675:136grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Ogataea",NA
"OTU2745:136grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Macrorhabdus",NA
"OTU3215:136grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"OTU2982:136grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU2118:137grass","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU1272:137grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae",NA,NA
"OTU1786:137grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU1326:158grass","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia",NA
"OTU1435:137grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__Hymenoscyphus_tetracladius_SH184429.07FU"
"OTU1501:137grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"OTU1025:137grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU1908:137grass","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Septobasidiales","f__Septobasidiaceae",NA,NA
"OTU1063:137grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Chaetosphaeronema",NA
"OTU2344:137grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Phomopsis",NA
"OTU1474:137grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU1319:137grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU3249:137grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae",NA,NA
"OTU2466:137grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena",NA
"OTU2285:137grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Arthrodermataceae","g__Arthroderma",NA
"OTU1659:137grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_malmesburiense_SH182516.07FU"
"OTU3255:137grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU2194:137grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Hypoxylon",NA
"OTU1266:137grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae",NA,NA
"OTU2463:137grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Scolecobasidium",NA
"OTU2596:137grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae",NA,NA
"OTU1317:137grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__Diaporthe_gulyae_SH234914.07FU"
"OTU2369:137grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales",NA,NA,NA
"OTU1391:138grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","g__Helvella",NA
"OTU2962:137grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU3573:137grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida",NA
"OTU1598:138grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU1105:138grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Mycoacia","s__Mycoacia_nothofagi_var._nothofagi_SH193448.07FU"
"OTU1311:138grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA
"OTU2880:138grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Sarcosomataceae","g__Plectania",NA
"OTU2756:147grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU2058:139grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Pyrenulales","f__Massariaceae","g__Massaria","s__Massaria_anomia_SH175214.07FU"
"OTU1106:139grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiaceae","g__Capnodium",NA
"OTU2049:139grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Lecythophora",NA
"OTU1874:139grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA
"OTU2971:139grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Phomopsis",NA
"OTU2191:139grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"OTU1590:139grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Macrorhabdus",NA
"OTU1592:139grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU2610:139grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Pochonia",NA
"OTU899:139grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae",NA,NA
"OTU1216:139grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Phyllactinia","s__Phyllactinia_mali_SH186027.07FU"
"OTU1562:139grass","k__Fungi","p__Ascomycota","c__Pezizomycetes",NA,NA,NA,NA
"OTU2006:139grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__Verrucaria_rosula_SH187381.07FU"
"OTU2510:139grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Pyrenulales","f__Massariaceae","g__Massaria",NA
"OTU2452:139grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"OTU2403:139grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Gyroporaceae","g__Gyroporus",NA
"OTU1960:139grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU2790:139grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Tubulicrinis",NA
"OTU1831:139grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Pyrenulales","f__Massariaceae","g__Massaria",NA
"OTU2713:139grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthales_fam_Incertae_sedis","g__Ophiognomonia","s__Ophiognomonia_sogonovii_SH207366.07FU"
"OTU3397:139grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU3682:139grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae",NA,NA
"OTU3887:139grass","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU3737:139grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Ramalina",NA
"OTU1226:140grass","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU1602:140grass","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"OTU2102:140grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU1950:140grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Dacryobolus","s__Dacryobolus_karstenii_SH200247.07FU"
"OTU3168:140grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU3552:140grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Phoma","s__Phoma_paspali_SH215817.07FU"
"OTU1567:140grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales",NA,NA,NA
"OTU2864:140grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Clitocybe",NA
"OTU2260:140grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU3784:140grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_adeliensis_SH405379.07FU"
"OTU2730:140grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU1810:140grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Tulasnellaceae",NA,NA
"OTU3089:140grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellaceae","g__Cantharellus",NA
"OTU2611:140grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Erysiphe",NA
"OTU3226:140grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_adeliensis_SH405379.07FU"
"OTU3488:140grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium_exasperatum_SH422672.07FU"
"OTU1074:141grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hemiphacidiaceae","g__Rhabdocline","s__Rhabdocline_parkeri_SH198878.07FU"
"OTU986:141grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas",NA
"OTU648:141grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Rosellinia","s__Rosellinia_abscondita_SH194352.07FU"
"OTU1443:141grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Cordana","s__Cordana_ellipsoidea_SH205509.07FU"
"OTU1546:141grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus",NA
"OTU2189:141grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Phaffia",NA
"OTU908:141grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA
"OTU3736:141grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium",NA
"OTU1000:146grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU2560:143grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU3501:141grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hemiphacidiaceae","g__Rhabdocline",NA
"OTU2715:141grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU3322:141grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA
"OTU2210:141grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniopsis","s__Gnomoniopsis_paraclavulata_SH213472.07FU"
"OTU3522:141grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU3566:141grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Pestalotiopsis","s__Pestalotiopsis_adusta_SH268539.07FU"
"OTU2985:141grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Lewia","s__Lewia_infectoria_SH434793.07FU"
"OTU3588:141grass","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae",NA,NA
"OTU3504:141grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU1736:142grass","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Gigasporaceae","g__Gigaspora","s__Gigaspora_margarita_SH180809.07FU"
